"gene","logFC","AveExpr","t","pvalue","padj"
"SAMD11",1.5707,8.8058,4.6263,3.723e-06,2.822e-05
"NOC2L",0.835,11.1439,3.2855,0.001018,0.00362
"KLHL17",0.7897,7.5417,3.8099,0.000139,0.0006625
"PLEKHN1",0.5155,7.1693,1.7072,0.08778,0.1547
"PERM1",0.8048,6.753,2.4193,0.01555,0.0369
"HES4",0.325,7.2363,0.9971,0.3187,0.433
"ISG15",2.8083,9.2843,6.5352,6.352e-11,1.52e-09
"AGRN",0.3421,12.5356,1.4103,0.1584,0.2495
"RNF223",1.1592,6.5504,2.3394,0.01931,0.04419
"C1orf159",0.7079,8.4119,3.2529,0.001142,0.003992
"TTLL10",-1.0484,5.7833,-2.6608,0.007796,0.02048
"TNFRSF18",2.3912,7.0051,5.656,1.549e-08,2.176e-07
"TNFRSF4",0.2566,6.6036,0.9638,0.3351,0.4504
"SDF4",0.1392,11.6771,0.8125,0.4165,0.5312
"B3GALT6",0.5112,9.6849,2.5964,0.009419,0.02405
"C1QTNF12",-0.0334,5.7041,-0.1159,0.9077,0.9361
"UBE2J2",0.3887,10.2661,2.607,0.009134,0.02345
"SCNN1D",0.3632,7.1272,1.3416,0.1797,0.2758
"ACAP3",0.3623,9.8271,2.2323,0.0256,0.05589
"PUSL1",0.892,8.4465,3.5218,0.0004286,0.001739
"INTS11",0.1889,11.1725,1.3075,0.191,0.2894
"CPTP",0.023,9.6488,0.0875,0.9303,0.9515
"TAS1R3",0.8425,6.341,2.537,0.01118,0.02784
"DVL1",0.4057,10.4373,1.854,0.06373,0.1191
"MXRA8",0.0314,11.6478,0.1028,0.9181,0.943
"AURKAIP1",0.3926,10.3596,1.3235,0.1857,0.2829
"CCNL2",0.0099,11.429,0.0515,0.9589,0.9715
"MRPL20",0.2828,10.852,1.2666,0.2053,0.3063
"ANKRD65",-1.4893,8.2951,-4.454,8.428e-06,5.792e-05
"VWA1",1.0853,11.1237,3.6904,0.0002239,0.0009971
"ATAD3C",0.6451,8.1655,1.7983,0.07213,0.1316
"ATAD3B",0.7755,8.9106,2.6889,0.007169,0.01913
"ATAD3A",0.7751,9.3987,2.8428,0.004473,0.01284
"TMEM240",-0.5759,5.9808,-2.0485,0.04051,0.08156
"SSU72",0.3116,11.8311,1.4858,0.1373,0.2225
"FNDC10",1.6467,8.2966,4.0592,4.924e-05,0.000269
"MIB2",-0.4607,9.2901,-1.7967,0.07238,0.1321
"MMP23B",-0.9283,6.0779,-2.2379,0.02523,0.05523
"CDK11B",0.0799,10.4423,0.5642,0.5726,0.6759
"SLC35E2B",0.1906,11.7801,1.3532,0.176,0.2713
"CDK11A",0.0586,9.7621,0.4586,0.6465,0.7382
"SLC35E2",-0.0753,8.374,-0.359,0.7196,0.7965
"NADK",-0.0217,11.0115,-0.128,0.8982,0.93
"GNB1",0.5158,13.6966,3.9275,8.583e-05,0.0004352
"CALML6",0.4309,5.8198,1.1605,0.2459,0.3534
"TMEM52",0.9534,6.363,2.4178,0.01562,0.03703
"GABRD",2.7708,6.2951,8.6509,5.108e-18,4.909e-16
"PRKCZ",0.4949,9.2678,1.7827,0.07463,0.1354
"FAAP20",0.4075,9.9891,1.8162,0.06935,0.1276
