"sample","BRCA-A","BRCA-B","BRCA-C","BRCA-D"
"TCGA-A1-A0SO-01A",11.1,72.29,18.38,21.59
"TCGA-C8-A1HN-01A",1.63,34.74,0,2.77
"TCGA-LL-A5YP-01A",0,22.23,6.31,9.16
"TCGA-OL-A97C-01A",1.24,30.7,2.09,3.71
"TCGA-BH-A18G-01A",16.28,1282.76,3.68,9.02
"TCGA-A2-A4RW-01A",1.79,24.16,59.63,0
"TCGA-A8-A09E-01A",0,20.82,0.64,7.6
"TCGA-A8-A095-01A",8.04,8.11,83.75,54.93
"TCGA-BH-A18T-01A",1.63,28.47,17.06,2.56
"TCGA-A2-A0YM-01A",6.57,43.3,21.25,2.31
"TCGA-LL-A6FP-01A",2.81,19.68,2.98,15.75
"TCGA-A7-A4SF-01A",4.8,33.14,16.79,10.56
"TCGA-A8-A06X-01A",1.47,84.36,16.53,7.9
"TCGA-A8-A07R-01A",3.24,75.42,11.02,24.72
"TCGA-E9-A1R4-01A",4.5,20.11,57.62,24.36
"TCGA-C8-A12M-01A",12.73,29.9,0,1.92
"TCGA-BH-A18L-01A",2.77,38.53,0,4.17
"TCGA-E2-A1IG-01A",5.54,20.49,0.35,4.39
"TCGA-AN-A0FZ-01A",2.73,47.48,0,15.56
"TCGA-B6-A0IK-01A",3.81,26.69,43.91,80.63
"TCGA-AN-A046-01A",5698.75,169.09,0,103.93
"TCGA-B6-A0RV-01A",0,5.65,31.02,13.3
"TCGA-BH-A5J0-01A",0,20.53,11.16,31.15
"TCGA-A7-A13E-01A",1.05,44.57,1.19,3.58
"TCGA-A8-A081-01A",3.24,60.63,23.18,11.83
"TCGA-B6-A0RG-01A",0.54,17.67,14.8,0
"TCGA-A8-A08F-01A",0,43.28,7.35,6.2
"TCGA-A1-A0SP-01A",0,35.63,1.1,5.09
"TCGA-AR-A2LR-01A",3.18,33.74,2.38,3.32
"TCGA-E9-A1NA-01A",8.11,23.09,21.48,3.41
"TCGA-C8-A138-01A",6.62,22.57,0,4.09
"TCGA-BH-A0WA-01A",0,27.21,0.86,25.34
"TCGA-AR-A24Q-01A",4.36,44.01,23.3,16.91
"TCGA-AR-A0TW-01A",7.88,30.81,5.05,0.55
"TCGA-AO-A0JM-01A",4.81,25.83,7.72,0.5
