"drug","SW480","NCI-H460","PANC-1","HOP62","LoVo","A498","HEC-1-A","Hs 766T","A549","CFPAC-1","MIA PaCa-2","AsPC-1","SHP-77","J82","NCI-H2347","RKO","A-172","KATO III","LOX-IMVI","NCI-H1573","HT-29","C32","SW1417","NCI-H2030","LS 180","NCI-H1792","NCI-H23","hTERT-HPNE","SW 900","HS-578T","Panc 03.27","RPMI-7951","HCT15","SK-MEL-2","C-33 A","SNU-423","COLO 205","A-427","HepG2/C3A","SNU-1","BT-474","H4","SW48","AN3 CA","CHP-212","SW 1271","SW 1088","NCI-H661","NCI-H2122","NCI-H596"
"DMSO_TF",147988,131593,97098,78130,74255,65432,60152,60761,62836,53365,57678,56628,54459,57781,51980,59271,57421,54483,54047,52500,52506,51984,46281,47619,44404,44125,45150,41096,40061,40995,38855,39343,38521,37501,37735,37646,34320,36517,31538,32550,32310,25187,24267,15446,12431,5423,3552,3532,817,586
"Adagrasib",97814,88031,64667,49612,47297,42423,38596,42742,39766,36928,38355,35055,39112,35451,33895,36595,35120,35104,35185,34181,34268,30828,30190,27255,28646,25809,24947,25093,27257,26663,26212,25682,25462,24723,24432,23215,23199,23480,18845,21984,19936,16787,15711,9679,8987,3232,2361,2333,524,409
"Afatinib",49175,44320,30949,23992,24373,18978,20445,21628,18924,19256,19684,17236,20214,16560,17572,17647,16301,17702,16747,15306,15692,14843,14892,13423,14626,13511,12612,12673,13042,13235,12686,12512,13134,11754,11141,10260,10230,10532,8816,10723,8230,8324,7521,4419,4469,1694,1171,1063,286,238
"Almonertinib (mesylate)",40558,41329,29827,21819,17662,19358,14180,24563,15293,16344,20850,11814,18819,13943,13435,13229,11692,13188,14254,12585,12779,11293,11565,8563,11362,12787,10682,9474,11963,12509,11133,10637,11227,10698,8896,8794,9367,8209,5425,9836,6625,7907,5708,2767,4442,1183,594,865,208,170
"Binimetinib",34180,38009,27403,22956,15052,18795,14799,20558,16046,13633,15650,13032,14737,14390,13373,12983,13505,13895,13145,12087,12344,10940,11543,11782,11861,7993,8844,10914,11616,12501,9547,10020,9143,6353,7922,10058,6386,6537,5713,7021,6935,7852,4710,3238,1443,1212,965,755,209,155
"Fumaric acid",36048,35181,27930,20206,16035,17651,12739,21809,14525,15905,19392,10662,17973,13148,12561,12442,11117,12174,14201,11779,11859,10297,10346,7653,10320,12148,9744,8353,10835,11055,10553,9857,10354,10512,8987,7847,7969,8609,5097,9674,6454,7177,5057,2753,4162,1120,457,918,209,163
"Cytarabine",37661,34420,26892,19150,16446,16032,14083,21683,13213,15489,18595,11352,19559,12138,12188,12205,11186,12310,12769,12302,11953,10822,11150,7235,10520,11016,9180,8155,10352,10671,10290,9748,11014,10612,9795,7185,8954,8413,5075,9700,6536,6226,5757,3047,3593,1201,518,893,183,148
"Pravastatin (sodium)",38131,34629,28928,19047,16009,17372,12926,21883,13784,15440,19345,10597,17293,12498,12510,12316,11482,12836,13344,11473,11924,9885,10754,7926,10357,12077,9761,7425,10822,11288,10422,9197,9925,10290,8419,7814,8394,8566,4954,9253,6348,6919,5276,2623,3958,1112,522,983,215,214
"Belumosudil",38295,33852,25252,18465,15003,16821,13012,22153,13210,16085,17289,10749,17370,12327,12363,11312,11140,12432,13338,10704,12008,10096,11209,6721,9964,11444,8766,8205,10179,10473,10498,9292,10236,9318,8341,7270,8281,8440,5152,8534,6245,6216,5637,2948,4347,997,503,890,207,185
"Berbamine (dihydrochloride)",33961,32501,26026,18738,14466,16818,11214,21344,13093,14009,19057,9898,19079,13294,11355,12174,10026,11157,13352,10325,10302,9403,9661,6993,9252,11187,9464,7578,9654,10409,9533,9420,9723,10051,9195,7662,7400,8778,5228,10027,6726,6875,4616,3174,3692,1009,405,840,178,163
