x,y,cell_type,organ
-4.320657,8.326133,Macrophage,Adipose
-5.11904,8.260025,Macrophage,Adipose
-4.545768,8.076676,Macrophage,Adipose
-4.807889,8.098799,Macrophage,Adipose
-7.689159,4.839585,Macrophage,Adipose
-4.200759,5.363315,Macrophage,Adipose
-4.302882,8.001613,Macrophage,Adipose
-4.293702,8.416903,Macrophage,Adipose
5.204846,-0.586989,Macrophage,Adipose
-5.079405,8.162749,Macrophage,Adipose
-3.231545,7.323568,Macrophage,Adipose
-4.781333,8.773621,Macrophage,Adipose
-3.779203,7.496935,Macrophage,Adipose
-5.008959,5.982901,Macrophage,Adipose
-3.56442,7.624268,Macrophage,Adipose
-4.950344,8.330125,Macrophage,Adipose
-4.579787,7.917538,Macrophage,Adipose
-4.215415,8.449441,Macrophage,Adipose
-4.173886,8.134576,Macrophage,Adipose
-4.174712,8.242104,Macrophage,Adipose
-4.463311,7.989559,Macrophage,Adipose
-4.73556,8.629372,Macrophage,Adipose
-4.097226,6.623404,Macrophage,Adipose
-3.784626,7.677803,Macrophage,Adipose
-3.658138,8.302296,Macrophage,Adipose
-4.847057,8.412932,Macrophage,Adipose
-3.173191,7.258321,Macrophage,Adipose
-4.264977,7.833082,Macrophage,Adipose
-4.39205,8.041722,Macrophage,Adipose
-6.088522,7.678398,Macrophage,Adipose
-3.719666,7.437138,Macrophage,Adipose
-4.162585,8.670255,Macrophage,Adipose
-3.850897,7.875512,Macrophage,Adipose
-4.165142,8.308125,Macrophage,Adipose
-5.070253,8.173301,Macrophage,Adipose
-4.273961,7.591701,Macrophage,Adipose
6.046286,-0.526976,Endothelial cell (APC),Adipose
-4.609182,8.433864,Macrophage,Adipose
-3.998899,7.459349,Macrophage,Adipose
-3.585426,7.996369,Macrophage,Adipose
-4.158626,8.534716,Macrophage,Adipose
-4.226294,8.180973,Macrophage,Adipose
-3.955289,7.568139,Macrophage,Adipose
3.025909,-5.802551,Stromal cell,Adipose
2.452058,-4.726613,Stromal cell,Adipose
3.127775,-5.595231,Macrophage,Adipose
3.055053,-5.561727,Stromal cell,Adipose
2.951232,-5.388559,Stromal cell,Adipose
3.243712,-5.295603,Stromal cell,Adipose
3.165136,-5.001015,Stromal cell,Adipose
2.75064,-5.764857,Stromal cell,Adipose
2.471809,-4.962288,Macrophage,Adipose
4.031715,-8.762131,Epithelial cell,Adipose
1.955379,-5.852712,Stromal cell,Adipose
3.437247,-5.660617,Stromal cell,Adipose
1.289441,-5.395966,Stromal cell,Adipose
3.502247,-5.629806,Fibroblast,Adipose
2.690859,-3.894474,Macrophage,Adipose
2.043306,-4.481078,Macrophage,Adipose
2.866042,-5.343266,Stromal cell,Adipose
1.404467,-5.484765,Stromal cell,Adipose
6.95327,1.843557,Macrophage,Adipose
3.085958,-5.191491,Stromal cell,Adipose
1.410783,-4.68895,Macrophage,Adipose
3.061766,-4.96743,Stromal cell,Adipose
3.085983,-5.675317,Fibroblast,Adipose
1.907508,-4.909658,Stromal cell,Adipose
2.234965,-3.850652,Macrophage,Adipose
3.449567,-5.374171,Stromal cell,Adipose
3.586732,-5.355002,Stromal cell,Adipose
3.123791,-5.046591,Macrophage,Adipose
2.627065,-4.462761,Macrophage,Adipose
3.117673,-5.448709,Stromal cell,Adipose
1.149195,-4.867092,Stromal cell,Adipose
2.308937,-5.23713,Macrophage,Adipose
3.17897,-5.436172,Stromal cell,Adipose
2.215743,-4.143179,Macrophage,Adipose
1.224319,-4.95627,Macrophage,Adipose
1.305196,-3.993194,Macrophage,Adipose
1.761231,-4.131849,Fibroblast,Adipose
2.480484,-5.292156,Stromal cell,Adipose
2.797469,-4.198382,Macrophage,Adipose
0.560924,-4.793687,Macrophage,Adipose
