x,y,class,gene,nucleus
3198.59,3267.65,Fibroblast / stroma,Other,Cytoplasmic
5591.88,337.56,Other,Other,Cytoplasmic
7413.16,845.47,Other,Other,Cytoplasmic
6899.99,3388.86,Tumour epithelial,GATA3,Cytoplasmic
6234.62,4579.91,Other,CCND1,Nuclear
2256.07,285.66,Immune,Other,Nuclear
22.58,779.32,Endothelial / vascular,Other,Nuclear
2273.04,2134.15,Tumour epithelial,ERBB2,Nuclear
1032.01,1618.5,Other,Other,Cytoplasmic
2572.31,3222.13,Other,Other,Cytoplasmic
118.83,4684.9,Other,Other,Cytoplasmic
2056.35,483.98,Other,Other,Cytoplasmic
1643.63,857.63,Endothelial / vascular,Other,Nuclear
4521.32,3870.84,Tumour epithelial,KRT7,Cytoplasmic
1605.25,491.32,Tumour epithelial,TACSTD2,Cytoplasmic
860.63,1370.58,Immune,Other,Nuclear
1871.02,2158.71,Tumour epithelial,ANKRD30A,Nuclear
7409.07,3056.13,Tumour epithelial,ANKRD30A,Cytoplasmic
6376.02,247.33,Tumour epithelial,GATA3,Cytoplasmic
3292.48,941.09,Other,Other,Nuclear
3790.97,3029.13,Other,Other,Cytoplasmic
40.18,2415.63,Tumour epithelial,EPCAM,Nuclear
3985.61,680.5,Immune,Other,Cytoplasmic
2749.97,1741.81,Endothelial / vascular,Other,Cytoplasmic
5999.96,3587,Other,Other,Nuclear
3903.22,3706.46,Other,Other,Nuclear
72.81,5306.52,Immune,Other,Cytoplasmic
4014.76,3134.27,Other,Other,Cytoplasmic
6340.88,4700.17,Tumour epithelial,EPCAM,Cytoplasmic
6204.13,2022.73,Other,Other,Cytoplasmic
120.7,1493.3,Tumour epithelial,GATA3,Cytoplasmic
5617.28,3685.42,Tumour epithelial,EPCAM,Cytoplasmic
5399.12,2265.61,Other,Other,Cytoplasmic
1183.33,1615.99,Tumour epithelial,Other,Nuclear
2761.18,365.5,Tumour epithelial,Other,Nuclear
5579.41,878.41,Fibroblast / stroma,POSTN,Nuclear
912.47,1089,Other,SCD,Cytoplasmic
1788.63,2548.98,Other,Other,Nuclear
4532.89,3932.67,Tumour epithelial,Other,Cytoplasmic
2839.85,3054.83,Tumour epithelial,Other,Cytoplasmic
3999.52,1357.58,Immune,Other,Cytoplasmic
5157.99,3460.08,Tumour epithelial,ANKRD30A,Nuclear
6736.26,1461.37,Tumour epithelial,Other,Cytoplasmic
1527.94,1712.85,Other,Other,Cytoplasmic
1424.86,778.82,Tumour epithelial,GATA3,Cytoplasmic
2776.65,4864.46,Immune,Other,Cytoplasmic
6512.95,1935.68,Immune,Other,Cytoplasmic
3444.46,1618.82,Other,Other,Nuclear
1606.04,821.81,Other,POLR2J3,Cytoplasmic
414.59,1416.57,Other,SCD,Cytoplasmic
3545.37,2568.25,Other,Other,Nuclear
5985.13,775.6,Tumour epithelial,Other,Cytoplasmic
2342.03,1594.29,Tumour epithelial,ERBB2,Cytoplasmic
6192.36,171.73,Tumour epithelial,KRT7,Cytoplasmic
3731.26,3655.09,Other,Other,Nuclear
6029.83,3463.62,Tumour epithelial,KRT7,Cytoplasmic
1403.83,1756.19,Other,SCD,Cytoplasmic
710.46,5078.18,Fibroblast / stroma,Other,Nuclear
976.82,1161.04,Other,Other,Cytoplasmic
2079.77,3388.05,Other,Other,Cytoplasmic
7206.68,2946.62,Other,Other,Cytoplasmic
5224.66,4630.09,Fibroblast / stroma,Other,Cytoplasmic
1206.13,2167.66,Tumour epithelial,KRT7,Cytoplasmic
6996.45,1119.89,Adipocyte,Other,Nuclear
140.52,2955.11,Other,Other,Nuclear
4034.12,2831.54,Other,Other,Cytoplasmic
2333.28,2390.24,Tumour epithelial,Other,Cytoplasmic
1868.05,2892.62,Myoepithelial / muscle,Other,Nuclear
1925.92,1214.92,Other,Other,Nuclear
3792.91,1731.72,Immune,Other,Cytoplasmic
2702.14,1616.15,Other,Other,Cytoplasmic
258.94,191.44,Other,Other,Cytoplasmic
2583.34,2075.43,Other,Other,Nuclear
7436.21,2960.52,Tumour epithelial,TACSTD2,Cytoplasmic
4603.08,430.74,Other,Other,Cytoplasmic
1214.32,115.69,Other,Other,Nuclear
7096.96,2061.04,Tumour epithelial,ERBB2,Nuclear
7014.81,4660.12,Other,Other,Nuclear
1794.29,4178.62,Endothelial / vascular,Other,Cytoplasmic
5195.91,2269.12,Other,Other,Cytoplasmic
3228.46,1262.65,Tumour epithelial,KRT7,Cytoplasmic
2690.07,3070.02,Myoepithelial / muscle,Other,Cytoplasmic
730.5,718.6,Other,Other,Nuclear
2018.82,3324.32,Tumour epithelial,KRT7,Cytoplasmic
904.79,1377.9,Other,SCD,Nuclear
1382.89,1862.17,Other,Other,Cytoplasmic
718.24,4349.13,Other,SCD,Cytoplasmic
5484.58,1501.96,Tumour epithelial,Other,Nuclear
139.82,4180.31,Fibroblast / stroma,LUM,Cytoplasmic
2158.55,2768.97,Other,Other,Cytoplasmic
6158.63,4869.31,Fibroblast / stroma,Other,Cytoplasmic
2657.98,3708.86,Immune,Other,Cytoplasmic
7234.05,2871.78,Tumour epithelial,KRT7,Cytoplasmic
7197.52,4323.05,Immune,Other,Cytoplasmic
2586.13,2111.74,Other,POLR2J3,Nuclear
4939.1,2990.79,Other,Other,Cytoplasmic
5789.84,380.72,Other,POLR2J3,Nuclear
6785.39,4665.29,Other,Other,Cytoplasmic
7217.3,1555.97,Immune,Other,Nuclear
651.26,943.13,Other,Other,Nuclear
14.64,1610.53,Tumour epithelial,GATA3,Cytoplasmic
946.21,1154.66,Tumour epithelial,Other,Cytoplasmic
7454.69,2966.23,Other,Other,Cytoplasmic
85.12,1579.3,Myoepithelial / muscle,Other,Cytoplasmic
3210.93,3083.01,Other,Other,Nuclear
3136.28,642.83,Fibroblast / stroma,Other,Cytoplasmic
2080.35,579.18,Other,Other,Nuclear
5423.9,3238.35,Other,POLR2J3,Nuclear
5690.69,4365.61,Adipocyte,Other,Cytoplasmic
5400.23,4744.33,Immune,Other,Cytoplasmic
6511.22,2231.14,Fibroblast / stroma,Other,Cytoplasmic
744.67,2288.66,Tumour epithelial,ERBB2,Cytoplasmic
776.83,2242.63,Other,Other,Nuclear
6658.09,3986.76,Fibroblast / stroma,POSTN,Cytoplasmic
3636.79,1400.09,Other,Other,Cytoplasmic
1372.17,4817.6,Other,Other,Cytoplasmic
5855.9,4275.26,Tumour epithelial,ERBB2,Nuclear
838.8,3600.92,Other,Other,Cytoplasmic
235.22,2721.16,Endothelial / vascular,Other,Nuclear
212.48,4132.17,Other,Other,Nuclear
810.24,638.04,Tumour epithelial,Other,Cytoplasmic
3778.59,2580.31,Immune,Other,Cytoplasmic
249.83,2094.44,Tumour epithelial,ERBB2,Nuclear
506.76,3735.7,Other,Other,Nuclear
3749.02,3911.65,Other,Other,Cytoplasmic
6335.44,3265.71,Tumour epithelial,GATA3,Nuclear
6118.39,3244.69,Tumour epithelial,Other,Cytoplasmic
2573.95,3304.12,Other,Other,Cytoplasmic
777.94,772.52,Immune,Other,Cytoplasmic
1965.14,5063.43,Other,Other,Nuclear
4118.39,4889.22,Fibroblast / stroma,Other,Cytoplasmic
6765.13,3538.95,Fibroblast / stroma,LUM,Cytoplasmic
5038.34,4553.61,Other,Other,Cytoplasmic
2797.66,3787.3,Other,POLR2J3,Cytoplasmic
7131.57,5278.19,Tumour epithelial,FOXA1,Cytoplasmic
1409.62,5133.01,Tumour epithelial,EPCAM,Cytoplasmic
477.67,4322.64,Immune,Other,Nuclear
6439.91,2931.51,Immune,Other,Cytoplasmic
4769.94,2607.5,Immune,Other,Nuclear
6168.74,3498.05,Other,CCND1,Cytoplasmic
